it,m,p,t,penalty,CL,CD,score
0,0.045668382119421175,0.5144257221107815,0.0753736359210655,0.0,0.0,1000000000.0,0.0
1,0.049657870319554924,0.45266575964882594,0.15097052881024486,0.0,0.0,1000000000.0,0.0
